President,File,Term,Party,Words,Dates
Abraham Lincoln,AbrahamLincoln,1,Republican,3637,18610304
Abraham Lincoln,AbrahamLincoln,2,Republican,700,18650304
Andrew Jackson,AndrewJackson,1,Democratic,1128,18290304
Andrew Jackson,AndrewJackson,2,Democratic,1176,18330304
Barack Obama,BarackObama,1,Democratic,2395,20090120
Barack Obama,BarackObama,2,Democratic,2096,20130121
Benjamin Harrison,BenjaminHarrison,1,Republican,4392,18890304
Calvin Coolidge,CalvinCoolidge,1,Republican,4055,19230803
Donald J. Trump,DonaldJTrump,1,Republican,1455,20170120
Dwight D. Eisenhower,DwightDEisenhower,1,Republican,2459,19530120
Dwight D. Eisenhower,DwightDEisenhower,2,Republican,1658,19570121
Franklin D. Roosevelt,FranklinDRoosevelt,1,Democratic,1880,19330304
Franklin D. Roosevelt,FranklinDRoosevelt,2,Democratic,1808,19370120
Franklin D. Roosevelt,FranklinDRoosevelt,3,Democratic,1359,19410120
Franklin D. Roosevelt,FranklinDRoosevelt,4,Democratic,559,19450412
Franklin Pierce,FranklinPierce,1,Democratic,3336,18530304
George Bush,GeorgeBush,1,Republican,2320,19890120
George Washington,GeorgeWashington,1,NA,1431,17890430
George Washington,GeorgeWashington,2,NA,135,17930304
George W. Bush,GeorgeWBush,1,Republican,1592,20010120
George W. Bush,GeorgeWBush,2,Republican,2071,20050120
Grover Cleveland - I,GroverCleveland-I,1,Democratic,1686,18850304
Grover Cleveland - II,GroverCleveland-II,2,Democratic,2015,18930304
Harry S. Truman,HarrySTruman,1,Democratic,2273,19450412
Herbert Hoover,HerbertHoover,1,Republican,3672,19290304
James Buchanan,JamesBuchanan,1,Democratic,2831,18570304
James Garfield,JamesGarfield,1,Republican,2979,18810304
James K. Polk,JamesKPolk,1,Democratic,4809,18450304
James Madison,JamesMadison,1,Democratic-Republican Party,1177,18090304
James Madison,JamesMadison,2,Democratic-Republican Party,1211,18130304
James Monroe,JamesMonroe,1,Democratic-Republican Party,3375,18170304
James Monroe,JamesMonroe,2,Democratic-Republican Party,4472,18210305
Jimmy Carter,JimmyCarter,1,Democratic,1229,19740809
John Adams,JohnAdams,1,Fedralist,2321,17970304
John F. Kennedy,JohnFKennedy,1,Democratic,1366,19610120
John Quincy Adams,JohnQuincyAdams,1,Democratic-Republican Party,2915,18250304
Lyndon B. Johnson,LyndonBJohnson,1,Democratic,1507,19631102
Martin van Buren,MartinvanBuren,1,Democratic,3843,18370304
Richard Nixon,RichardNixon,1,Republican,2128,19690120
Richard Nixon,RichardNixon,2,Republican,1803,19730120
Ronald Reagan,RonaldReagan,1,Republican,2427,19810120
Ronald Reagan,RonaldReagan,2,Republican,2561,19850121
Rutherford B. Hayes,RutherfordBHayes,1,Republican,2486,18770305
Theodore Roosevelt,TheodoreRoosevelt,1,Republican,984,19010914
Thomas Jefferson,ThomasJefferson,1,Democratic-Republican Party,1730,18010304
Thomas Jefferson,ThomasJefferson,2,Democratic-Republican Party,2166,18050304
Ulysses S. Grant,UlyssesSGrant,1,Republican,1127,18690304
Ulysses S. Grant,UlyssesSGrant,2,Republican,1339,18730304
Warren G. Harding,WarrenGHarding,1,Republican,3329,19210304
William Henry Harrison,WilliamHenryHarrison,1,Whig,8460,18410304
William Howard Taft,WilliamHowardTaft,1,Republican,5434,19090304
William J. Clinton,WilliamJClinton,1,Democratic,1598,19930120
William J. Clinton,WilliamJClinton,2,Democratic,2155,19970120
William McKinley,WilliamMcKinley,1,Republican,3968,18970304
William McKinley,WilliamMcKinley,2,Republican,2218,19010304
Woodrow Wilson,WoodrowWilson,1,Democratic,1704,19130304
Woodrow Wilson,WoodrowWilson,2,Democratic,1526,19170305
Zachary Taylor,ZacharyTaylor,1,Whig,1090,18490305
